"PARENT_KEY","Site","Cluster","Plot","Longitude","Latitude","VegStructure","Year","Trees","Shrubs","KEY","trheight","trcircumf","trspecies_scientific","treespecies_common","Subplot"
"uuid:c4206d81-5f05-469f-b0df-e9c2683685c1","Kalamba","16","1","37.5657","-1.8348","bushland","2023","yes","yes","uuid:c4206d81-5f05-469f-b0df-e9c2683685c1/supl4_tree_data[2]","8.3","18","Acacia hockii","N","4"
"uuid:c4206d81-5f05-469f-b0df-e9c2683685c1","Kalamba","16","1","37.5657","-1.8348","bushland","2023","yes","yes","uuid:c4206d81-5f05-469f-b0df-e9c2683685c1/supl4_tree_data[3]","3.4","21","Commiphora Africana","N","4"
"uuid:c4206d81-5f05-469f-b0df-e9c2683685c1","Kalamba","16","1","37.5657","-1.8348","bushland","2023","yes","yes","uuid:c4206d81-5f05-469f-b0df-e9c2683685c1/supl4_tree_data[4]","4.4","9","Briddelia taitensis","N","4"
"uuid:c4206d81-5f05-469f-b0df-e9c2683685c1","Kalamba","16","1","37.5657","-1.8348","bushland","2023","yes","yes","uuid:c4206d81-5f05-469f-b0df-e9c2683685c1/supl4_tree_data[5]","4.9","8.5","Maytenus undata","N","4"
"uuid:c4206d81-5f05-469f-b0df-e9c2683685c1","Kalamba","16","1","37.5657","-1.8348","bushland","2023","yes","yes","uuid:c4206d81-5f05-469f-b0df-e9c2683685c1/supl4_tree_data[6]","3.3","13","Rhus natalensis","N","4"
"uuid:c4206d81-5f05-469f-b0df-e9c2683685c1","Kalamba","16","1","37.5657","-1.8348","bushland","2023","yes","yes","uuid:c4206d81-5f05-469f-b0df-e9c2683685c1/supl4_tree_data[7]","3.2","5","Briddelia taitensis","N","4"
"uuid:c4206d81-5f05-469f-b0df-e9c2683685c1","Kalamba","16","1","37.5657","-1.8348","bushland","2023","yes","yes","uuid:c4206d81-5f05-469f-b0df-e9c2683685c1/supl4_tree_data[8]","4.8","17","Rhus ruspaolii","N","4"
"uuid:ca6b4570-485f-4dbb-b20b-ed283da32417","Kalamba","16","2","37.5678","-1.83053","shrubland","2023","yes","yes","uuid:ca6b4570-485f-4dbb-b20b-ed283da32417/supl4_tree_data[1]","4.3","12","Psidium quajava","N","4"
"uuid:c6badbfc-304f-444c-bc21-f0b9fdb6aee3","Kalamba","16","8","37.5681","-1.8368","shrubland","2023","yes","yes","uuid:c6badbfc-304f-444c-bc21-f0b9fdb6aee3/supl4_tree_data[1]","4.6","12","Citrus lemon","N","4"
"uuid:c6badbfc-304f-444c-bc21-f0b9fdb6aee3","Kalamba","16","8","37.5681","-1.8368","shrubland","2023","yes","yes","uuid:c6badbfc-304f-444c-bc21-f0b9fdb6aee3/supl4_tree_data[2]","3.2","10","Citrus sinensis","N","4"
"uuid:4a9b0fe9-2e55-4bcb-9592-fd40038ef933","Kalamba","16","6","37.5667","-1.83773","cropland","2023","yes","yes","uuid:4a9b0fe9-2e55-4bcb-9592-fd40038ef933/supl4_tree_data[1]","3.8","14","Terminalia brownii","N","4"
"uuid:4a9b0fe9-2e55-4bcb-9592-fd40038ef933","Kalamba","16","6","37.5667","-1.83773","cropland","2023","yes","yes","uuid:4a9b0fe9-2e55-4bcb-9592-fd40038ef933/supl4_tree_data[2]","3.8","11.5","Combretum molle","N","4"
"uuid:e99b64ce-3924-404d-b8a0-da250b7ec490","Kalamba","15","2","37.5639","-1.85353","bushland","2023","yes","yes","uuid:e99b64ce-3924-404d-b8a0-da250b7ec490/supl4_tree_data[1]","3.8","7","Gnidia latifolia","N","4"
"uuid:e99b64ce-3924-404d-b8a0-da250b7ec490","Kalamba","15","2","37.5639","-1.85353","bushland","2023","yes","yes","uuid:e99b64ce-3924-404d-b8a0-da250b7ec490/supl4_tree_data[2]","4.2","12","Combretum apiculatum","N","4"
"uuid:e99b64ce-3924-404d-b8a0-da250b7ec490","Kalamba","15","2","37.5639","-1.85353","bushland","2023","yes","yes","uuid:e99b64ce-3924-404d-b8a0-da250b7ec490/supl4_tree_data[3]","3.9","7","Combretum apiculatum","N","4"
"uuid:e99b64ce-3924-404d-b8a0-da250b7ec490","Kalamba","15","2","37.5639","-1.85353","bushland","2023","yes","yes","uuid:e99b64ce-3924-404d-b8a0-da250b7ec490/supl4_tree_data[4]","4.1","7","Croton dichogamus","N","4"
"uuid:e99b64ce-3924-404d-b8a0-da250b7ec490","Kalamba","15","2","37.5639","-1.85353","bushland","2023","yes","yes","uuid:e99b64ce-3924-404d-b8a0-da250b7ec490/supl4_tree_data[5]","3.1","6.5","Combretum molle","N","4"
"uuid:e99b64ce-3924-404d-b8a0-da250b7ec490","Kalamba","15","2","37.5639","-1.85353","bushland","2023","yes","yes","uuid:e99b64ce-3924-404d-b8a0-da250b7ec490/supl4_tree_data[6]","3.6","7","Rhus natalensis","N","4"
